文件名,文件路径,鼓类型,类型置信度(%),鼓机型号,型号置信度(%),结果组合,类型候选1,类型候选1置信度(%),类型候选2,类型候选2置信度(%),类型候选3,类型候选3置信度(%),机型候选1,机型候选1置信度(%),机型候选2,机型候选2置信度(%),机型候选3,机型候选3置信度(%),处理时间
808_Cymbal_5.wav,samples/808_Cymbal_5.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:45
808_Cymbal_4.wav,samples/808_Cymbal_4.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:45
909_Snare_9.wav,samples/909_Snare_9.wav,Snare,100.00,Linn,99.88,Snare_Linn,Snare,100.00,Perc,0.00,Cymbal,0.00,Linn,99.88,808,0.12,,,2025-04-03 19:29:45
808_Cymbal_6.wav,samples/808_Cymbal_6.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:45
808_Cymbal_7.wav,samples/808_Cymbal_7.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
909_Snare_8.wav,samples/909_Snare_8.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Perc,0.00,Kick,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:29:46
808_Cymbal_3.wav,samples/808_Cymbal_3.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
808_Cymbal_2.wav,samples/808_Cymbal_2.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
808_Cymbal_1.wav,samples/808_Cymbal_1.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
Linn_Kick_4.wav,samples/Linn_Kick_4.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:29:46
808_Snare_9.wav,samples/808_Snare_9.wav,Snare,99.90,808,99.92,Snare_808,Snare,99.90,Perc,0.10,Cymbal,0.00,808,99.92,Linn,0.08,,,2025-04-03 19:29:46
808_Snare_8.wav,samples/808_Snare_8.wav,Snare,99.86,808,97.74,Snare_808,Snare,99.86,Perc,0.13,Tom,0.01,808,97.74,Linn,2.26,,,2025-04-03 19:29:46
DanceWithSomeBody_Drum.wav,samples/DanceWithSomeBody_Drum.wav,Cymbal,100.00,Linn,99.84,Cymbal_Linn,Cymbal,100.00,Snare,0.00,Perc,0.00,Linn,99.84,808,0.16,,,2025-04-03 19:29:46
Linn_Kick_2.wav,samples/Linn_Kick_2.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:29:46
Linn_Kick_3.wav,samples/Linn_Kick_3.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:29:46
Linn_Kick_1.wav,samples/Linn_Kick_1.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:29:46
808_Cymbal_10.wav,samples/808_Cymbal_10.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
808_Snare_1.wav,samples/808_Snare_1.wav,Snare,100.00,808,100.00,Snare_808,Snare,100.00,Perc,0.00,Tom,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
909_Snare_10.wav,samples/909_Snare_10.wav,Snare,99.99,Linn,99.69,Snare_Linn,Snare,99.99,Cymbal,0.00,Kick,0.00,Linn,99.69,808,0.31,,,2025-04-03 19:29:46
808_Snare_3.wav,samples/808_Snare_3.wav,Snare,100.00,808,99.98,Snare_808,Snare,100.00,Perc,0.00,Tom,0.00,808,99.98,Linn,0.02,,,2025-04-03 19:29:46
808_Snare_2.wav,samples/808_Snare_2.wav,Snare,99.67,808,99.91,Snare_808,Snare,99.67,Perc,0.32,Cymbal,0.02,808,99.91,Linn,0.09,,,2025-04-03 19:29:46
808_Snare_10.wav,samples/808_Snare_10.wav,Snare,99.62,808,99.87,Snare_808,Snare,99.62,Perc,0.38,Cymbal,0.01,808,99.87,Linn,0.13,,,2025-04-03 19:29:46
808_Snare_6.wav,samples/808_Snare_6.wav,Snare,100.00,808,100.00,Snare_808,Snare,100.00,Perc,0.00,Tom,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
808_Snare_7.wav,samples/808_Snare_7.wav,Snare,99.83,808,99.96,Snare_808,Snare,99.83,Perc,0.16,Cymbal,0.01,808,99.96,Linn,0.04,,,2025-04-03 19:29:46
808_Snare_5.wav,samples/808_Snare_5.wav,Snare,99.91,808,100.00,Snare_808,Snare,99.91,Perc,0.09,Tom,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
808_Snare_4.wav,samples/808_Snare_4.wav,Snare,99.97,808,100.00,Snare_808,Snare,99.97,Perc,0.03,Cymbal,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
909_Snare_3.wav,samples/909_Snare_3.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Perc,0.00,Kick,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:29:46
909_Snare_2.wav,samples/909_Snare_2.wav,Snare,100.00,Linn,99.99,Snare_Linn,Snare,100.00,Perc,0.00,Cymbal,0.00,Linn,99.99,808,0.01,,,2025-04-03 19:29:46
Test.wav,samples/Test.wav,Kick,100.00,808,100.00,Kick_808,Kick,100.00,Perc,0.00,Cymbal,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
909_Snare_1.wav,samples/909_Snare_1.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Perc,0.00,Cymbal,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:29:46
909_Snare_5.wav,samples/909_Snare_5.wav,Snare,99.98,Linn,99.85,Snare_Linn,Snare,99.98,Cymbal,0.01,Perc,0.01,Linn,99.85,808,0.15,,,2025-04-03 19:29:46
909_Snare_4.wav,samples/909_Snare_4.wav,Snare,99.97,Linn,100.00,Snare_Linn,Snare,99.97,Kick,0.02,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:29:46
909_Snare_6.wav,samples/909_Snare_6.wav,Snare,99.99,Linn,99.91,Snare_Linn,Snare,99.99,Kick,0.00,Cymbal,0.00,Linn,99.91,808,0.09,,,2025-04-03 19:29:46
808_Cymbal_9.wav,samples/808_Cymbal_9.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
808_Cymbal_8.wav,samples/808_Cymbal_8.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:29:46
909_Snare_7.wav,samples/909_Snare_7.wav,Snare,99.94,Linn,93.61,Snare_Linn,Snare,99.94,Cymbal,0.04,Perc,0.01,Linn,93.61,808,6.39,,,2025-04-03 19:29:46
