文件名,文件路径,鼓类型,类型置信度(%),鼓机型号,型号置信度(%),结果组合,类型候选1,类型候选1置信度(%),类型候选2,类型候选2置信度(%),类型候选3,类型候选3置信度(%),机型候选1,机型候选1置信度(%),机型候选2,机型候选2置信度(%),机型候选3,机型候选3置信度(%),处理时间
808_Cymbal_5.wav,samples/808_Cymbal_5.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
808_Cymbal_4.wav,samples/808_Cymbal_4.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
909_Snare_9.wav,samples/909_Snare_9.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Cymbal,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
808_Cymbal_6.wav,samples/808_Cymbal_6.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
808_Cymbal_7.wav,samples/808_Cymbal_7.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
909_Snare_8.wav,samples/909_Snare_8.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Cymbal,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
808_Cymbal_3.wav,samples/808_Cymbal_3.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
808_Cymbal_2.wav,samples/808_Cymbal_2.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
808_Cymbal_1.wav,samples/808_Cymbal_1.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
Linn_Kick_4.wav,samples/Linn_Kick_4.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Snare,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
808_Snare_9.wav,samples/808_Snare_9.wav,Snare,99.89,808,97.76,Snare_808,Snare,99.89,Perc,0.10,Kick,0.01,808,97.76,Linn,2.24,,,2025-04-03 19:34:28
808_Snare_8.wav,samples/808_Snare_8.wav,Snare,99.38,Linn,98.96,Snare_Linn,Snare,99.38,Tom,0.48,Perc,0.12,Linn,98.96,808,1.04,,,2025-04-03 19:34:28
DanceWithSomeBody_Drum.wav,samples/DanceWithSomeBody_Drum.wav,Snare,99.92,Linn,99.96,Snare_Linn,Snare,99.92,Cymbal,0.05,Kick,0.02,Linn,99.96,808,0.04,,,2025-04-03 19:34:28
Linn_Kick_2.wav,samples/Linn_Kick_2.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Snare,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
Linn_Kick_3.wav,samples/Linn_Kick_3.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
Linn_Kick_1.wav,samples/Linn_Kick_1.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
808_Cymbal_10.wav,samples/808_Cymbal_10.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
808_Snare_1.wav,samples/808_Snare_1.wav,Snare,97.09,808,100.00,Snare_808,Snare,97.09,Perc,1.97,Kick,0.94,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
909_Snare_10.wav,samples/909_Snare_10.wav,Snare,99.99,Linn,100.00,Snare_Linn,Snare,99.99,Cymbal,0.01,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
808_Snare_3.wav,samples/808_Snare_3.wav,Snare,100.00,808,79.70,Snare_808,Snare,100.00,Perc,0.00,Tom,0.00,808,79.70,Linn,20.30,,,2025-04-03 19:34:28
808_Snare_2.wav,samples/808_Snare_2.wav,Snare,99.99,808,99.98,Snare_808,Snare,99.99,Perc,0.01,Tom,0.00,808,99.98,Linn,0.02,,,2025-04-03 19:34:28
808_Snare_10.wav,samples/808_Snare_10.wav,Snare,99.97,808,99.97,Snare_808,Snare,99.97,Perc,0.03,Tom,0.00,808,99.97,Linn,0.03,,,2025-04-03 19:34:28
808_Snare_6.wav,samples/808_Snare_6.wav,Snare,82.48,808,100.00,Snare_808,Snare,82.48,Perc,16.49,Kick,1.03,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
808_Snare_7.wav,samples/808_Snare_7.wav,Snare,99.96,808,99.99,Snare_808,Snare,99.96,Perc,0.04,Tom,0.00,808,99.99,Linn,0.01,,,2025-04-03 19:34:28
808_Snare_5.wav,samples/808_Snare_5.wav,Snare,99.99,808,100.00,Snare_808,Snare,99.99,Perc,0.01,Tom,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
808_Snare_4.wav,samples/808_Snare_4.wav,Snare,100.00,808,99.88,Snare_808,Snare,100.00,Perc,0.00,Kick,0.00,808,99.88,Linn,0.12,,,2025-04-03 19:34:28
909_Snare_3.wav,samples/909_Snare_3.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Cymbal,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
909_Snare_2.wav,samples/909_Snare_2.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Cymbal,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
Test.wav,samples/Test.wav,Kick,100.00,808,100.00,Kick_808,Kick,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
909_Snare_1.wav,samples/909_Snare_1.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Cymbal,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
909_Snare_5.wav,samples/909_Snare_5.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Cymbal,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
909_Snare_4.wav,samples/909_Snare_4.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Cymbal,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
909_Snare_6.wav,samples/909_Snare_6.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Cymbal,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
808_Cymbal_9.wav,samples/808_Cymbal_9.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
808_Cymbal_8.wav,samples/808_Cymbal_8.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-03 19:34:28
909_Snare_7.wav,samples/909_Snare_7.wav,Snare,99.98,Linn,100.00,Snare_Linn,Snare,99.98,Cymbal,0.02,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-03 19:34:28
