文件名,文件路径,鼓类型,类型置信度(%),鼓机型号,型号置信度(%),结果组合,类型候选1,类型候选1置信度(%),类型候选2,类型候选2置信度(%),类型候选3,类型候选3置信度(%),机型候选1,机型候选1置信度(%),机型候选2,机型候选2置信度(%),机型候选3,机型候选3置信度(%),处理时间
808_Cymbal_5.wav,samples/808_Cymbal_5.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_4.wav,samples/808_Cymbal_4.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_6.wav,samples/808_Cymbal_6.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_7.wav,samples/808_Cymbal_7.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_3.wav,samples/808_Cymbal_3.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_2.wav,samples/808_Cymbal_2.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_1.wav,samples/808_Cymbal_1.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_15.wav,samples/808_Cymbal_15.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
Linn_Kick_4.wav,samples/Linn_Kick_4.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
808_Perc_3.wav,samples/808_Perc_3.wav,Perc,99.37,808,99.31,Perc_808,Perc,99.37,Cymbal,0.58,Snare,0.03,808,99.31,Linn,0.69,,,2025-04-04 12:35:23
808_Snare_9.wav,samples/808_Snare_9.wav,Snare,99.90,808,99.92,Snare_808,Snare,99.90,Perc,0.10,Cymbal,0.00,808,99.92,Linn,0.08,,,2025-04-04 12:35:23
Linn_Tom_2.wav,samples/Linn_Tom_2.wav,Perc,99.94,Linn,100.00,Perc_Linn,Perc,99.94,Tom,0.06,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
808_Snare_8.wav,samples/808_Snare_8.wav,Snare,99.86,808,97.74,Snare_808,Snare,99.86,Perc,0.13,Tom,0.01,808,97.74,Linn,2.26,,,2025-04-04 12:35:23
808_Perc_2.wav,samples/808_Perc_2.wav,Perc,100.00,Linn,99.82,Perc_Linn,Perc,100.00,Tom,0.00,Snare,0.00,Linn,99.82,808,0.18,,,2025-04-04 12:35:23
808_Cymbal_14.wav,samples/808_Cymbal_14.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
Linn_Tom_1.wav,samples/Linn_Tom_1.wav,Tom,99.57,Linn,100.00,Tom_Linn,Tom,99.57,Perc,0.43,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
808_Perc_1.wav,samples/808_Perc_1.wav,Perc,100.00,808,99.45,Perc_808,Perc,100.00,Tom,0.00,Snare,0.00,808,99.45,Linn,0.55,,,2025-04-04 12:35:23
808_Perc_5.wav,samples/808_Perc_5.wav,Perc,88.97,Linn,89.96,Perc_Linn,Perc,88.97,Tom,11.01,Snare,0.01,Linn,89.96,808,10.04,,,2025-04-04 12:35:23
Linn_Kick_2.wav,samples/Linn_Kick_2.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
808_Cymbal_13.wav,samples/808_Cymbal_13.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_12.wav,samples/808_Cymbal_12.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
Linn_Kick_3.wav,samples/Linn_Kick_3.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
808_Perc_4.wav,samples/808_Perc_4.wav,Snare,99.74,Linn,98.55,Snare_Linn,Snare,99.74,Tom,0.23,Perc,0.03,Linn,98.55,808,1.45,,,2025-04-04 12:35:23
Linn_Kick_1.wav,samples/Linn_Kick_1.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,100.00,Perc,0.00,Tom,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
808_Perc_6.wav,samples/808_Perc_6.wav,Perc,90.04,808,100.00,Perc_808,Perc,90.04,Tom,8.04,Snare,1.92,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_10.wav,samples/808_Cymbal_10.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Cymbal_11.wav,samples/808_Cymbal_11.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Perc_7.wav,samples/808_Perc_7.wav,Tom,98.67,808,99.83,Tom_808,Tom,98.67,Snare,0.88,Perc,0.44,808,99.83,Linn,0.17,,,2025-04-04 12:35:23
808_Tom_5.wav,samples/808_Tom_5.wav,Snare,81.65,808,92.11,Snare_808,Snare,81.65,Tom,17.98,Perc,0.37,808,92.11,Linn,7.89,,,2025-04-04 12:35:23
808_Snare_1.wav,samples/808_Snare_1.wav,Snare,100.00,808,100.00,Snare_808,Snare,100.00,Perc,0.00,Tom,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Tom_4.wav,samples/808_Tom_4.wav,Tom,99.20,808,100.00,Tom_808,Tom,99.20,Snare,0.54,Perc,0.25,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Perc_9.wav,samples/808_Perc_9.wav,Perc,100.00,Linn,99.83,Perc_Linn,Perc,100.00,Tom,0.00,Snare,0.00,Linn,99.83,808,0.17,,,2025-04-04 12:35:23
808_Tom_6.wav,samples/808_Tom_6.wav,Snare,99.97,808,95.60,Snare_808,Snare,99.97,Perc,0.03,Tom,0.00,808,95.60,Linn,4.40,,,2025-04-04 12:35:23
808_Snare_3.wav,samples/808_Snare_3.wav,Snare,100.00,808,99.98,Snare_808,Snare,100.00,Perc,0.00,Tom,0.00,808,99.98,Linn,0.02,,,2025-04-04 12:35:23
808_Snare_2.wav,samples/808_Snare_2.wav,Snare,99.67,808,99.91,Snare_808,Snare,99.67,Perc,0.32,Cymbal,0.02,808,99.91,Linn,0.09,,,2025-04-04 12:35:23
808_Snare_10.wav,samples/808_Snare_10.wav,Snare,99.62,808,99.87,Snare_808,Snare,99.62,Perc,0.38,Cymbal,0.01,808,99.87,Linn,0.13,,,2025-04-04 12:35:23
808_Tom_7.wav,samples/808_Tom_7.wav,Tom,62.71,Linn,98.13,Tom_Linn,Tom,62.71,Perc,26.27,Snare,11.02,Linn,98.13,808,1.87,,,2025-04-04 12:35:23
808_Perc_8.wav,samples/808_Perc_8.wav,Tom,100.00,808,100.00,Tom_808,Tom,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Tom_3.wav,samples/808_Tom_3.wav,Tom,99.78,808,99.98,Tom_808,Tom,99.78,Perc,0.13,Snare,0.09,808,99.98,Linn,0.02,,,2025-04-04 12:35:23
808_Snare_6.wav,samples/808_Snare_6.wav,Snare,100.00,808,100.00,Snare_808,Snare,100.00,Perc,0.00,Tom,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Snare_7.wav,samples/808_Snare_7.wav,Snare,99.83,808,99.96,Snare_808,Snare,99.83,Perc,0.16,Cymbal,0.01,808,99.96,Linn,0.04,,,2025-04-04 12:35:23
808_Tom_2.wav,samples/808_Tom_2.wav,Tom,99.87,808,99.98,Tom_808,Tom,99.87,Perc,0.10,Snare,0.02,808,99.98,Linn,0.02,,,2025-04-04 12:35:23
808_Snare_5.wav,samples/808_Snare_5.wav,Snare,99.91,808,100.00,Snare_808,Snare,99.91,Perc,0.09,Tom,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Snare_4.wav,samples/808_Snare_4.wav,Snare,99.97,808,100.00,Snare_808,Snare,99.97,Perc,0.03,Cymbal,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
808_Tom_1.wav,samples/808_Tom_1.wav,Tom,100.00,808,100.00,Tom_808,Tom,100.00,Kick,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:23
Linn_Snare_4.wav,samples/Linn_Snare_4.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Perc,0.00,Kick,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
Linn_Snare_5.wav,samples/Linn_Snare_5.wav,Tom,72.02,Linn,100.00,Tom_Linn,Tom,72.02,Snare,26.36,Perc,1.62,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
Linn_Snare_6.wav,samples/Linn_Snare_6.wav,Snare,99.76,Linn,100.00,Snare_Linn,Snare,99.76,Kick,0.23,Perc,0.01,Linn,100.00,808,0.00,,,2025-04-04 12:35:23
Linn_Snare_2.wav,samples/Linn_Snare_2.wav,Snare,99.99,Linn,100.00,Snare_Linn,Snare,99.99,Perc,0.01,Kick,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:24
Linn_Snare_3.wav,samples/Linn_Snare_3.wav,Snare,99.99,Linn,100.00,Snare_Linn,Snare,99.99,Kick,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:24
Linn_Cymbal_1.wav,samples/Linn_Cymbal_1.wav,Cymbal,100.00,Linn,100.00,Cymbal_Linn,Cymbal,100.00,Snare,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:24
Linn_Cymbal_3.wav,samples/Linn_Cymbal_3.wav,Cymbal,100.00,Linn,100.00,Cymbal_Linn,Cymbal,100.00,Snare,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:24
808_Cymbal_9.wav,samples/808_Cymbal_9.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:24
Linn_Snare_1.wav,samples/Linn_Snare_1.wav,Snare,100.00,Linn,100.00,Snare_Linn,Snare,100.00,Tom,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:24
808_Cymbal_8.wav,samples/808_Cymbal_8.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-04 12:35:24
Linn_Cymbal_2.wav,samples/Linn_Cymbal_2.wav,Cymbal,100.00,Linn,100.00,Cymbal_Linn,Cymbal,100.00,Perc,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-04 12:35:24
