文件名,文件路径,鼓类型,类型置信度(%),鼓机型号,型号置信度(%),结果组合,类型候选1,类型候选1置信度(%),类型候选2,类型候选2置信度(%),类型候选3,类型候选3置信度(%),机型候选1,机型候选1置信度(%),机型候选2,机型候选2置信度(%),机型候选3,机型候选3置信度(%),处理时间
808_Cymbal_5.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Cymbal_5.wav,Cymbal,47.35,808,65.06,Cymbal_808,Cymbal,47.35,Tom,14.68,Perc,13.39,808,65.06,Linn,34.94,,,2025-04-05 15:39:04
808_Cymbal_4.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Cymbal_4.wav,Cymbal,48.10,808,63.67,Cymbal_808,Cymbal,48.10,Tom,14.86,Perc,13.49,808,63.67,Linn,36.33,,,2025-04-05 15:39:04
808_Cymbal_6.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Cymbal_6.wav,Cymbal,42.99,808,61.11,Cymbal_808,Cymbal,42.99,Kick,15.74,Tom,14.08,808,61.11,Linn,38.89,,,2025-04-05 15:39:04
808_Cymbal_7.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Cymbal_7.wav,Cymbal,50.72,808,61.96,Cymbal_808,Cymbal,50.72,Kick,13.70,Tom,13.56,808,61.96,Linn,38.04,,,2025-04-05 15:39:04
808_Cymbal_3.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Cymbal_3.wav,Cymbal,48.06,808,63.48,Cymbal_808,Cymbal,48.06,Tom,14.85,Perc,13.02,808,63.48,Linn,36.52,,,2025-04-05 15:39:04
808_Cymbal_2.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Cymbal_2.wav,Cymbal,46.28,808,65.52,Cymbal_808,Cymbal,46.28,Tom,14.58,Snare,13.97,808,65.52,Linn,34.48,,,2025-04-05 15:39:04
808_Cymbal_1.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Cymbal_1.wav,Cymbal,45.84,808,61.50,Cymbal_808,Cymbal,45.84,Tom,16.16,Perc,14.04,808,61.50,Linn,38.50,,,2025-04-05 15:39:04
808_Cymbal_15.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Cymbal_15.wav,Cymbal,47.35,808,65.06,Cymbal_808,Cymbal,47.35,Tom,14.68,Perc,13.39,808,65.06,Linn,34.94,,,2025-04-05 15:39:04
Linn_Kick_4.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Linn_Kick_4.wav,Kick,43.75,Linn,63.10,Kick_Linn,Kick,43.75,Snare,15.14,Tom,14.62,Linn,63.10,808,36.90,,,2025-04-05 15:39:04
808_Perc_3.wav,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/808_Perc_3.wav,Snare,22.15,Linn,52.52,Snare_Linn,Snare,22.15,Perc,21.89,Tom,21.68,Linn,52.52,808,47.48,,,2025-04-05 15:39:04
