文件名,鼓类型,类型置信度(%),鼓机型号,型号置信度(%),结果组合,真实鼓类型,类型预测正确,真实鼓机型号,机型预测正确,整体预测正确,类型候选1,类型候选1置信度(%),类型候选2,类型候选2置信度(%),类型候选3,类型候选3置信度(%),机型候选1,机型候选1置信度(%),机型候选2,机型候选2置信度(%),机型候选3,机型候选3置信度(%),处理时间,文件路径
Cymbal_808_2.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_2.wav
Tom_808_4.wav,Perc,100.00,808,100.00,Perc_808,Tom,否,808,是,否,Perc,100.00,Tom,0.00,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_4.wav
Cymbal_808_11.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_11.wav
Cymbal_808_10.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_10.wav
Tom_808_5.wav,Perc,51.74,808,84.79,Perc_808,Tom,否,808,是,否,Perc,51.74,Tom,47.34,Snare,0.82,808,84.79,Linn,15.21,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_5.wav
Cymbal_808_3.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_3.wav
Cymbal_808_1.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_1.wav
Tom_808_7.wav,Perc,62.99,808,92.47,Perc_808,Tom,否,808,是,否,Perc,62.99,Tom,37.01,Snare,0.00,808,92.47,Linn,7.53,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_7.wav
Cymbal_808_12.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_12.wav
Cymbal_808_13.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_13.wav
Tom_808_6.wav,Perc,99.99,808,100.00,Perc_808,Tom,否,808,是,否,Perc,99.99,Tom,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_6.wav
Tom_808_2.wav,Tom,99.99,808,100.00,Tom_808,Tom,是,808,是,是,Tom,99.99,Kick,0.01,Perc,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_2.wav
Cymbal_808_4.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_4.wav
Cymbal_808_5.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_5.wav
Tom_808_3.wav,Tom,99.88,808,100.00,Tom_808,Tom,是,808,是,是,Tom,99.88,Perc,0.12,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_3.wav
Tom_808_1.wav,Tom,100.00,808,100.00,Tom_808,Tom,是,808,是,是,Tom,100.00,Kick,0.00,Perc,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_1.wav
Cymbal_808_7.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_7.wav
Cymbal_808_14.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_14.wav
Cymbal_808_15.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_15.wav
Cymbal_808_6.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_6.wav
Kick_Linn_4.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,是,Linn,是,是,Kick,100.00,Tom,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Kick_Linn_4.wav
Cymbal_Linn_1.wav,Cymbal,97.82,Linn,99.85,Cymbal_Linn,Cymbal,是,Linn,是,是,Cymbal,97.82,Snare,2.14,Perc,0.03,Linn,99.85,808,0.15,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_Linn_1.wav
Snare_808_7.wav,Snare,91.31,808,91.21,Snare_808,Snare,是,808,是,是,Snare,91.31,Perc,4.51,Kick,3.43,808,91.21,Linn,8.79,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Snare_808_7.wav
Snare_808_6.wav,Perc,51.97,808,99.99,Perc_808,Snare,否,808,是,否,Perc,51.97,Snare,46.44,Kick,1.56,808,99.99,Linn,0.01,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Snare_808_6.wav
Cymbal_Linn_2.wav,Cymbal,100.00,Linn,100.00,Cymbal_Linn,Cymbal,是,Linn,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_Linn_2.wav
Snare_808_4.wav,Snare,98.81,808,87.93,Snare_808,Snare,是,808,是,是,Snare,98.81,Kick,0.88,Perc,0.30,808,87.93,Linn,12.07,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Snare_808_4.wav
Snare_808_5.wav,Snare,96.31,808,90.52,Snare_808,Snare,是,808,是,是,Snare,96.31,Perc,1.78,Kick,1.69,808,90.52,Linn,9.48,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Snare_808_5.wav
Cymbal_Linn_3.wav,Cymbal,99.88,Linn,100.00,Cymbal_Linn,Cymbal,是,Linn,是,是,Cymbal,99.88,Snare,0.12,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_Linn_3.wav
Kick_Linn_2.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,是,Linn,是,是,Kick,100.00,Tom,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Kick_Linn_2.wav
Tom_Linn_1.wav,Tom,100.00,Linn,100.00,Tom_Linn,Tom,是,Linn,是,是,Tom,100.00,Perc,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_Linn_1.wav
Cymbal_Linn_7.wav,Cymbal,100.00,Linn,100.00,Cymbal_Linn,Cymbal,是,Linn,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_Linn_7.wav
Snare_808_1.wav,Snare,74.91,808,100.00,Snare_808,Snare,是,808,是,是,Snare,74.91,Perc,24.33,Kick,0.71,808,100.00,Linn,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Snare_808_1.wav
Cymbal_Linn_6.wav,Cymbal,100.00,Linn,100.00,Cymbal_Linn,Cymbal,是,Linn,是,是,Cymbal,100.00,Perc,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_Linn_6.wav
Kick_Linn_3.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,是,Linn,是,是,Kick,100.00,Tom,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:34,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Kick_Linn_3.wav
Kick_Linn_1.wav,Kick,100.00,Linn,100.00,Kick_Linn,Kick,是,Linn,是,是,Kick,100.00,Tom,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-06 15:23:35,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Kick_Linn_1.wav
Tom_Linn_2.wav,Perc,74.15,Linn,99.97,Perc_Linn,Tom,否,Linn,是,否,Perc,74.15,Tom,25.85,Snare,0.00,Linn,99.97,808,0.03,,,2025-04-06 15:23:35,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_Linn_2.wav
Cymbal_Linn_4.wav,Cymbal,99.89,Linn,99.93,Cymbal_Linn,Cymbal,是,Linn,是,是,Cymbal,99.89,Snare,0.09,Perc,0.02,Linn,99.93,808,0.07,,,2025-04-06 15:23:35,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_Linn_4.wav
Perc_808_9.wav,Perc,88.68,Linn,93.77,Perc_Linn,Perc,是,808,否,否,Perc,88.68,Tom,11.32,Kick,0.00,Linn,93.77,808,6.23,,,2025-04-06 15:23:35,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Perc_808_9.wav
