文件名,鼓类型,类型置信度(%),鼓机型号,型号置信度(%),结果组合,真实鼓类型,类型预测正确,真实鼓机型号,机型预测正确,整体预测正确,类型候选1,类型候选1置信度(%),类型候选2,类型候选2置信度(%),类型候选3,类型候选3置信度(%),机型候选1,机型候选1置信度(%),机型候选2,机型候选2置信度(%),机型候选3,机型候选3置信度(%),处理时间,文件路径
Cymbal_808_2.wav,Cymbal,46.28,808,65.52,Cymbal_808,Cymbal,是,808,是,是,Cymbal,46.28,Tom,14.58,Snare,13.97,808,65.52,Linn,34.48,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_2.wav
Tom_808_4.wav,Tom,24.66,808,61.73,Tom_808,Tom,是,808,是,是,Tom,24.66,Snare,22.09,Kick,20.97,808,61.73,Linn,38.27,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_4.wav
Cymbal_808_11.wav,Cymbal,45.84,808,61.50,Cymbal_808,Cymbal,是,808,是,是,Cymbal,45.84,Tom,16.16,Perc,14.04,808,61.50,Linn,38.50,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_11.wav
Cymbal_808_10.wav,Cymbal,49.09,808,62.49,Cymbal_808,Cymbal,是,808,是,是,Cymbal,49.09,Tom,13.70,Kick,13.60,808,62.49,Linn,37.51,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_10.wav
Tom_808_5.wav,Tom,25.82,808,56.73,Tom_808,Tom,是,808,是,是,Tom,25.82,Perc,24.46,Snare,20.62,808,56.73,Linn,43.27,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_5.wav
Cymbal_808_3.wav,Cymbal,48.06,808,63.48,Cymbal_808,Cymbal,是,808,是,是,Cymbal,48.06,Tom,14.85,Perc,13.02,808,63.48,Linn,36.52,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_3.wav
Cymbal_808_1.wav,Cymbal,45.84,808,61.50,Cymbal_808,Cymbal,是,808,是,是,Cymbal,45.84,Tom,16.16,Perc,14.04,808,61.50,Linn,38.50,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_1.wav
Tom_808_7.wav,Tom,26.91,808,50.78,Tom_808,Tom,是,808,是,是,Tom,26.91,Perc,24.92,Snare,19.18,808,50.78,Linn,49.22,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_7.wav
Cymbal_808_12.wav,Cymbal,46.28,808,65.52,Cymbal_808,Cymbal,是,808,是,是,Cymbal,46.28,Tom,14.58,Snare,13.97,808,65.52,Linn,34.48,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_12.wav
Cymbal_808_13.wav,Cymbal,48.06,808,63.48,Cymbal_808,Cymbal,是,808,是,是,Cymbal,48.06,Tom,14.85,Perc,13.02,808,63.48,Linn,36.52,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_13.wav
Tom_808_6.wav,Tom,26.32,808,60.21,Tom_808,Tom,是,808,是,是,Tom,26.32,Perc,23.58,Snare,21.78,808,60.21,Linn,39.79,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_6.wav
Tom_808_2.wav,Tom,25.83,808,58.15,Tom_808,Tom,是,808,是,是,Tom,25.83,Perc,22.81,Kick,21.23,808,58.15,Linn,41.85,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_2.wav
Cymbal_808_4.wav,Cymbal,48.10,808,63.67,Cymbal_808,Cymbal,是,808,是,是,Cymbal,48.10,Tom,14.86,Perc,13.49,808,63.67,Linn,36.33,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_4.wav
Cymbal_808_5.wav,Cymbal,47.35,808,65.06,Cymbal_808,Cymbal,是,808,是,是,Cymbal,47.35,Tom,14.68,Perc,13.39,808,65.06,Linn,34.94,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_5.wav
Tom_808_3.wav,Tom,27.68,808,58.30,Tom_808,Tom,是,808,是,是,Tom,27.68,Perc,24.99,Kick,17.26,808,58.30,Linn,41.70,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_3.wav
Tom_808_1.wav,Kick,33.25,808,58.65,Kick_808,Tom,否,808,是,否,Kick,33.25,Tom,21.61,Perc,17.23,808,58.65,Linn,41.35,,,2025-04-05 16:37:44,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_1.wav
