文件名,鼓类型,类型置信度(%),鼓机型号,型号置信度(%),结果组合,真实鼓类型,类型预测正确,真实鼓机型号,机型预测正确,整体预测正确,类型候选1,类型候选1置信度(%),类型候选2,类型候选2置信度(%),类型候选3,类型候选3置信度(%),机型候选1,机型候选1置信度(%),机型候选2,机型候选2置信度(%),机型候选3,机型候选3置信度(%),处理时间,文件路径
Cymbal_808_2.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Kick,0.00,Perc,0.00,808,100.00,Linn,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_2.wav
Tom_808_4.wav,Tom,100.00,808,99.99,Tom_808,Tom,是,808,是,是,Tom,100.00,Snare,0.00,Kick,0.00,808,99.99,Linn,0.01,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_4.wav
Cymbal_808_11.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_11.wav
Cymbal_808_10.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Kick,0.00,Perc,0.00,808,100.00,Linn,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_10.wav
Tom_808_5.wav,Snare,100.00,Linn,100.00,Snare_Linn,Tom,否,808,否,否,Snare,100.00,Tom,0.00,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_5.wav
Cymbal_808_3.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Kick,0.00,Perc,0.00,808,100.00,Linn,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_3.wav
Cymbal_808_1.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Perc,0.00,Kick,0.00,808,100.00,Linn,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_1.wav
Tom_808_7.wav,Tom,100.00,Linn,100.00,Tom_Linn,Tom,是,808,否,否,Tom,100.00,Perc,0.00,Snare,0.00,Linn,100.00,808,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_7.wav
Cymbal_808_12.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Kick,0.00,Perc,0.00,808,100.00,Linn,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_12.wav
Cymbal_808_13.wav,Cymbal,100.00,808,100.00,Cymbal_808,Cymbal,是,808,是,是,Cymbal,100.00,Kick,0.00,Perc,0.00,808,100.00,Linn,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Cymbal_808_13.wav
Tom_808_6.wav,Snare,99.98,Linn,100.00,Snare_Linn,Tom,否,808,否,否,Snare,99.98,Tom,0.02,Perc,0.00,Linn,100.00,808,0.00,,,2025-04-06 14:01:25,/Users/rifi_2001/Documents/Python Projects/AML_DrumIdentifier_April-v2/TestSamples/Tom_808_6.wav
